px,py,pz,vx,vy,vz,roll,pitch,yaw,wx,wy,wz
2.4728520167942018e-08,4.967920904408427e-08,0.07999999998505712,-2.3331570351146422e-09,4.739614965929612e-10,0.009999998966707058,-8.05940106111738e-11,-4.37164959356051e-10,2.6313889731436794e-08,-8.341471984888206e-09,-3.3886493625652705e-08,3.2213283739368665e-09
6.703233985240143e-05,4.967590694094248e-08,0.07995812025898064,0.006704266606291056,-5.067871788157303e-10,-0.004182358609274278,1.6450992295829235e-11,0.0008375946179908381,2.6339171709169203e-08,9.703443589610671e-09,0.0837595104209797,2.5305851156634372e-09
4.677143733354319e-05,4.967588500825049e-08,0.08002921217234577,-0.002030244985197869,5.117741489991542e-11,0.007108005953096923,-4.980481086863194e-12,0.0005844657312154784,2.6359177239627055e-08,-2.1445699441397986e-09,-0.02531288882375988,2.0006977312376354e-09
2.6510534392935514e-05,4.9675756204019356e-08,0.07912030413156534,-0.0019959747111217966,3.946923662317419e-11,-0.09089147040721239,1.197747191917133e-11,0.0003313368451212298,2.6375087985268732e-08,1.6950667455514684e-09,-0.025312888744583515,1.591162967142069e-09
6.154856879963654e-11,5.018790480642331e-08,0.08000000437598123,2.2669894199463467e-09,3.855038847328148e-10,0.009999998950846328,-6.645844972675382e-11,4.811711531775106e-10,2.0051438447008264e-10,-5.8230940144946905e-09,2.648371544397286e-08,1.323189131473967e-09
1.0981504066591177e-08,4.5812704571031205e-08,0.07955195993469158,5.316736186593055e-07,-3.5514827086118414e-08,-0.04480444414124053,-8.972440229589505e-06,-1.2505945374278338e-05,5.653334766586649e-10,-0.000897237376891876,-0.001250642654723129,3.0871209427657786e-08
1.0114437352750565e-06,-6.719846362447123e-07,0.08000000000413263,-9.341595758658532e-10,1.8438871806607347e-10,0.009999999672232168,-3.351041024673915e-11,-1.694760660042153e-10,4.725526273670749e-10,-4.715874149484249e-09,-7.030788021488449e-09,-3.2213512708203265e-09
1.0001289847828576e-06,-6.844537914764553e-07,0.08031255735410987,-1.9761526151789107e-06,-2.07680819649986e-06,0.03125573491160853,-2.6551692863016506e-05,2.7024722520711545e-05,7.858436608066954e-10,-0.002655165935838345,0.0027024891994277675,6.720698022684053e-08
1.0052299536175483e-06,-6.813723701180045e-07,0.08096260714326169,-4.74552144318551e-06,-5.162537723778148e-06,0.06500497853969787,-8.415785946361561e-05,8.08494736567806e-05,-1.1375689131321022e-09,-0.005760616651278682,0.005382475119539721,1.05604448192854e-07
1.0924563292458966e-06,-5.909964480718259e-07,0.08201858115567327,-8.43412518057483e-06,-9.496973181593437e-06,0.10559740122428064,-0.0001755210375778629,0.00016247334125098822,-1.0698863235197475e-08,-0.009136317701455924,0.008162386827810625,1.0367037530760045e-07
1.3670081799671233e-06,-2.9514282608118463e-07,0.08350290232597499,-1.3024743663403431e-05,-1.5407376360136913e-05,0.14843212114669885,-0.0003031199661878348,0.00027271676740612893,-3.6525025358961455e-08,-0.012759892316345186,0.011024342951483352,5.5735104073123066e-08
1.9746117366262546e-06,3.7495474646094603e-07,0.08542266125460794,-1.8282848118074084e-05,-2.2735696768187782e-05,0.19197591195671782,-0.0004674829221443755,0.0004117350029054284,-9.045300744354878e-08,-0.016436293787101403,0.013901824665203798,-3.640493908718141e-08
3.1006620297044926e-06,1.6379987232243887e-06,0.08777658018711118,-2.373687267961877e-05,-3.106723490812235e-05,0.23539195082256617,-0.0006685515706806869,0.0005792122455505015,-1.8723237210669917e-07,-0.020106860126210102,0.016747727183750036,-1.6493802079411418e-07
4.969284690888911e-06,3.7620401847620593e-06,0.09055982499940107,-2.8695774438646687e-05,-3.978773895348703e-05,0.2783246206822207,-0.0009061072892792804,0.0007744842710933291,-3.441183576416953e-07,-0.023755561352775317,0.019527209053834853,-3.1425045762730293e-07
7.84095899422401e-06,7.063180874424457e-06,0.09376487123474747,-3.238496299316067e-05,-4.7784938415639e-05,0.3205049169908731,-0.0011790746676999346,0.0009970280874636226,-5.807440608787943e-07,-0.02729671705229244,0.022254394511309415,-4.6033491259223974e-07
1.2010398423545084e-05,1.1902730876357837e-05,0.09738224826603051,-3.39876048628678e-05,-5.3396779011921913e-05,0.3617382616103262,-0.0014854726694164637,0.0012465686931554059,-9.190441535361317e-07,-0.030639762460914426,0.02495408391615318,-5.843300686904582e-07
1.7805065118567507e-05,1.8682658689994873e-05,0.1014011280044639,-3.2430109107509566e-05,-5.4813976730793784e-05,0.4018889584443099,-0.0018234088264821291,0.001522552168638923,-1.3823864477255644e-06,-0.03379355187564888,0.02759838700388903,-6.743118257719004e-07
2.5583323447884364e-05,2.784126013094632e-05,0.10580975777575156,-2.622624630729993e-05,-5.0393459637015505e-05,0.44086461095029295,-0.0021917291237685366,0.001823807955370701,-1.9942364820066974e-06,-0.03683192777154162,0.030125641536688952,-7.056582576006922e-07
3.573150743375235e-05,3.985045416893246e-05,0.1105957797961124,-1.3732283463128014e-05,-3.8319071920409403e-05,0.47860478288527186,-0.002589281585934659,0.002149061976011739,-2.778111408712315e-06,-0.039755091028654675,0.032525497445165724,-6.35040655701877e-07
4.866082816080309e-05,5.521339340322329e-05,0.115746467014142,6.468660798478642e-06,-1.6061468524295394e-05,0.5150726354139615,-0.0030138710979493387,0.002497637474999298,-3.7589733464539284e-06,-0.04245872395098961,0.03485768903665546,-4.295852360793024e-07
