thrust,tau_x,tau_y,tau_z
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
540.3439842382072,545.2910037040643,550.1887831192198,545.2862152700061
539.7838298722967,545.3339277070305,550.821569726437,545.3273410302245
533.7549047207109,553.6183709432318,559.3150658789306,539.6613325668111
533.4752142047768,553.6430454471418,559.6295450126818,539.685485566366
541.2121834581648,543.7026325197348,550.0923233999713,547.6309429461369
550.268803554675,552.9319488859422,559.5060204541024,556.8743227439943
545.196802933392,552.0637664916162,558.8001490541048,552.0170590403542
544.9288648845499,552.0941796806642,559.1198773889931,552.045828778165
537.8655335597306,545.5292373160496,553.0706064429731,545.5127962112084
537.6617167656863,545.6266865513714,555.2769600835069,547.4523524397156
538.9405669519491,547.1844294571046,553.8764119102183,545.7335908294408
540.1056655587437,548.0039181981513,554.3929201950396,546.5870860353918
535.8435048225834,545.3856472177586,555.7266715115672,546.3650913197822
536.4700481894703,545.8647522465233,555.9034285210251,546.6810723141494
537.1002822195599,546.3004895327191,555.9992754654056,546.9619047596069
537.8271136107912,546.8002876552289,556.1266111300728,547.3059756336756
539.2970206008616,546.5905601748595,556.9640340388113,544.243587711518
538.1794072158053,546.5373273734781,557.6195085933446,544.265633589628
539.0034644549862,547.0958566858103,557.7657580856754,544.6505898772324
535.6190445260479,546.8314562985374,557.1913124728179,546.1357899864141
536.5756030921907,547.4522078797152,557.2412856422029,546.5191035884251
536.7368867713417,547.8700652102183,557.6928901321666,546.7922894555107
536.4878802588208,547.9224900940858,558.0312079973112,546.8405530438932
534.0448347193433,546.8728842985769,559.1561811481466,546.5688859082409
534.9794792000562,547.4935023148057,559.1360960935892,547.051913404905
534.1541537664931,547.0089930190436,559.7835277225909,547.1735388721133
535.1579030961611,547.6204869080117,559.7367538084678,547.6522978322006
532.4715627016978,546.8642497476199,560.8396098988651,547.3621616747862
533.5113765961562,547.4409944865901,560.7965346890473,547.8024567266358
532.8517072538722,546.9534458625219,561.5232809364904,547.7466390847151
534.005320399283,547.5570499923871,561.3910058619547,548.1683787257907
531.379063486032,546.8086837682024,562.4057999089415,547.8516604007606
532.5970530320589,547.4343606626019,562.2140097288604,548.2390991767095
531.7935205549421,547.2404208421475,562.7927896632177,548.18553559094
533.1071203707818,547.8895547193908,562.5241303027175,548.5494616999048
530.6765561563336,547.0830166050054,563.5162125019218,548.1052771248396
532.0472745946788,547.7528557263279,563.1872678789258,548.4369183989438
531.6725410114692,547.6634769417799,563.5775416156149,548.0106654533969
533.127670159909,548.3576937482995,563.1719906086379,548.3223452851323
530.8786980662505,547.5199632923723,564.1147703700852,547.7822226751175
532.378677331845,548.2183713777284,563.665260383466,548.0739367455778
531.9243447387012,547.9605706828667,564.1387243587108,547.8562960020095
533.4924336229338,548.6727365874845,563.6282105367608,548.1360493126055
531.3758374782759,547.8265779370452,564.4903168265392,547.5722726540669
532.9632199217223,548.5247118122417,563.9543362084057,547.8580106764814
532.5879296856107,548.2819481420177,564.3301565788844,547.6650088595801
534.2073192135512,548.9812850986747,563.7532431401418,547.9627639686496
532.1561120782932,548.1765332953009,564.500087003228,547.4487695002242
533.781010429703,548.8674195186798,563.9025495943292,547.7536786686945
533.4552324692432,548.6673270536995,564.1564866554012,547.618971457748
535.0985466939757,549.3506533678113,563.5272292324598,547.9468226232949
533.1024669479594,548.6080385701478,564.1425698115434,547.4961634286608
534.7380484953981,549.2891928493503,563.5032416522947,547.8259861380982
534.4641477138852,549.1500264370158,563.6317068569514,547.7385960119951
536.1138681116429,549.8260500239885,562.9660960215369,548.086287352545
534.17271878731,549.1427828840862,563.4460331723756,547.7095653393533
535.8022190455465,549.7984319388113,562.785518461179,548.0731962202293
535.5700834807733,549.7283901694583,562.7795404891708,548.0512048552446
537.2079425074317,550.3907159814278,562.103724651943,548.4138359894916
535.3507329536811,549.7748299731421,562.4554458274378,548.0707324931768
536.9721403277287,550.4130048870559,561.7841056913695,548.4463629521125
536.8040288206552,550.398817360774,561.6422085715166,548.4850533372788
538.4208005855281,551.0210576948655,560.9753325976138,548.8744525865027
536.6396643680775,550.47980382897,561.1900994427859,548.5814276424377
538.2384177548644,551.0965122159863,560.5341323606772,548.9563010983105
538.1764019757769,551.1403259839334,560.2672849376814,549.0053623982948
539.7817200628588,551.7327886540535,559.6106897814449,549.3957276159255
538.0976575146511,551.2438893406014,559.6825885438286,549.1542137185397
539.6649134564017,551.8082276512034,559.0602027576842,549.545534788871
539.6999870154996,551.9205309523298,558.6562828004597,549.6295095092794
541.2747465304726,552.4860053946475,558.0375836549965,550.0052531989305
539.7350826492485,552.0480968167258,557.9777430081534,549.7549758468751
541.2846211734901,552.5697710407832,557.3838434119883,550.1415669898648
541.438686102843,552.7303751921402,556.8289967875529,550.2671068693094
542.9682709982472,553.2334600262263,556.2684701901119,550.6546390081015
543.2171778264493,553.2187501421396,555.1353124066944,550.6751215170511
543.0606681951606,553.3519922962626,555.5306538806623,550.7855544251748
543.3858326590414,553.5591541008212,554.8349116429908,550.8903604381876
544.891533703056,554.0093679727647,554.3162765483189,551.2723023947092
543.6134053140848,553.6855187169688,553.9514457832678,551.0762257285071
545.0547256419011,554.1049428429156,553.4968783877054,551.4491357653746
545.5288064410706,554.3819743066009,552.6506797678181,551.5650789843237
546.9277965367628,554.7841192697206,552.2408469173954,551.9231238257247
545.8768568058671,554.5220355202244,551.7114666652172,551.7135259116749
547.2671707465566,554.8753821910476,551.3255237789839,552.0859918706601
549.3494894289289,555.3831517445537,549.5679263423563,552.4792035223825
549.2121507422859,555.5313799569158,549.9758909501517,552.5995850513491
548.3346222233533,555.330979243165,549.2837613565437,552.3774231541355
549.6683799987729,555.648182745225,548.9708266193455,552.721714596961
550.6914044720718,555.6531347506831,548.1692683067347,552.6153904148981
552.0031312079855,555.9203937633202,547.8979876273993,552.9841771858481
551.0842307669299,556.1200168521196,546.6169266866594,553.0196108910311
552.2547533546558,556.3558754901283,546.458393411647,553.3737572715602
553.4201932318922,556.5885736430619,546.3134551589043,553.7179287655397
553.2322169120863,556.7173828837969,544.5951858292672,553.4569566396625
554.4277553632411,556.9135451961928,544.4388134300438,553.8063727143995
555.5654188261117,557.0878005246606,544.3375498169953,554.1825274272599
555.8098077340817,556.8859073524329,542.8005635715813,553.6866726626971
556.8926818778302,557.040605618297,542.7615152232321,554.0363332855071
557.9671583021712,557.192768887742,542.7386780753636,554.3742840154582
558.5433070425988,556.7664156177157,541.5201865057574,553.727287144752
559.5903454096955,556.8561751015412,541.5282871442756,554.0829266921171
560.4113706298053,556.7182352638491,541.1563813965791,554.0979033049346
561.3304880304685,556.7740132822358,541.2762989184246,554.4611695876082
561.8248564398932,556.3338850373391,540.3018537168233,553.9184745010363
562.6970289780305,556.3908674976224,540.4596884904514,554.2659924143993
563.4024675603439,556.2564111320464,540.2252709215325,554.305629511895
563.4024675603439,556.2564111320464,540.2252709215325,554.305629511895
564.568197818978,555.8112600380994,539.6103960799238,554.2662913221762
565.2222491612714,555.817984279218,539.9101200651033,554.6773869568358
565.8344145215475,555.8466161000858,540.2280602287512,555.072574015684
566.1413452007461,555.451433807055,539.4933397274157,554.6673560183532
566.7037923671356,555.4721703780685,539.8157367006545,555.0850617465891
567.2093223421365,555.4773222571363,540.1766351135484,555.533822748671
567.4328121214664,555.0599361315408,539.5072584491887,555.2014512876592
567.8517908406108,555.0769993538048,539.9136354732522,555.6513113349654
568.2390376114491,555.1228258918148,540.3295468504589,556.082655446861
568.4095928830483,554.8072659931795,539.7677476237682,555.783350714719
568.7582556709287,554.8522030882929,540.1707479659219,556.2221670087508
568.998764588141,554.7527039359198,540.2432687110656,556.4163998170803
569.2680059884982,554.79874916551,540.681699184374,556.8632701204822
569.3548708565136,554.5218248875466,540.2282558221505,556.6320744540067
569.5908699446127,554.6156425391503,540.665163212188,557.040953330424
569.7674745971287,554.5976544399028,540.7631765083627,557.1997998810691
569.9750320195129,554.6925639822282,541.2004791383973,557.6210359322116
570.0339307370209,554.4517151584896,540.767072187162,557.4006046325726
570.1983711138146,554.5531474870305,541.2126789089978,557.8124072893016
570.353449888535,554.6774216319047,541.6689323934208,558.2099048767158
570.3905740247151,554.4911726705263,541.25350136782,557.9487264156874
570.5342346245767,554.6396710127823,541.688886982706,558.3174661340807
