thrust,tau_x,tau_y,tau_z
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
540.7627841675578,545.453040487153,550.099246561612,545.4489594477958
549.4993611985373,554.4130495145438,559.278906606928,554.4082799991037
540.109838895419,545.4100533568275,550.6536640775188,545.4043460577519
547.9365832982968,539.4901997432166,545.0625494139246,553.4238351047017
537.8464531700172,547.6641656614491,553.4477371733366,543.7344059366936
546.651916909631,556.7377880748196,562.7505629273259,552.7743566851691
538.9915816956498,545.5106615712965,551.9426885201138,545.5004840232282
542.3781798160559,548.9346008380323,555.3336860970417,548.8531690640863
538.4217242641399,545.5508853431518,552.5751373590547,545.5378145845668
539.2510576308159,546.8160060422102,553.6337634847713,546.1628862286576
539.5313793399359,546.2070266930101,553.429285102361,546.841544113292
539.5313793399359,546.2070266930101,553.429285102361,546.841544113292
538.4532984016272,546.453514544662,553.8183118549352,545.9259243092012
539.2656074917011,546.7833507495045,553.5658613200361,546.1411301549563
538.5886062951445,546.0195167656619,553.8168136568208,546.4919464983188
539.4490976298778,546.3631246249175,553.5536402549571,546.7305491163347
538.4670034544752,546.3655378309098,553.7660300848747,545.974539821242
539.3378123868981,546.7484338593339,553.4982115208107,546.1753499479468
539.4712609418607,546.3459187573169,553.5391603420146,546.7527281894614
539.4712609418607,546.3459187573169,553.5391603420146,546.7527281894614
538.442857106191,546.3809326538542,553.7835548148371,545.9530667467958
539.3387170449873,546.7682091032818,553.4951121679701,546.1579061076623
538.5719080065593,545.9670225040668,553.8274118747364,546.5386442070602
535.5949154390552,547.0061997278481,558.5805397332462,547.41164499436
534.5577641872019,547.0715393805599,558.8211278530442,546.576410480368
535.450400861657,547.4587338154175,558.5442873925693,546.7777837518497
534.7007982697122,546.6265828748341,558.8579761073004,547.1988394943717
535.603156802901,546.9863187682059,558.5763630889036,547.4340079447533
534.5488468563817,547.0906628215681,558.8266263662815,546.5541646916444
535.604520908141,547.5062563273138,558.3525188078917,546.7287577514196
534.8822115202754,546.9369162815422,558.680654259182,546.8851772904974
536.0759447096012,547.3361739251183,558.069938656361,547.0713714573897
534.3769511302776,546.854117570179,558.8865801733142,546.9074506288092
535.6142149934249,547.2756538740309,558.2444272208003,547.057164282619
534.7201660341509,546.9714440783688,558.7468011101136,546.9523524559452
535.9757432372197,547.3729680926939,558.0962984135531,547.1217068396472
534.2736664730452,546.871661613149,558.9116332226162,546.9684683272458
535.5060011896398,547.2716324105439,558.2793449022995,547.1374762745247
534.6095469180748,546.9799112544353,558.7645833049428,547.0482398690211
535.8647154956444,547.3844158372523,558.1173085173401,547.2136401717142
534.1612008306531,546.8776701402152,558.9426391609954,547.044923419904
535.3993714930749,547.2804584105074,558.30851136952,547.2076464980348
534.5218994244193,546.9845149669738,558.7930676407929,547.1139476021526
535.7845374018098,547.3910072627913,558.1428910302067,547.2734281941972
534.0817005658957,546.8752405229404,558.9798322137443,547.0890705596316
535.3263028571886,547.2756958065279,558.344616142181,547.2489472239433
534.4715434899222,546.9780873040152,558.8280154661769,547.1457424438449
535.7422113182073,547.3876629953793,558.1748535603589,547.2974767753129
534.0359247415951,546.8586248544492,559.0226047913075,547.1061356387765
535.2876168790497,547.2608912630033,558.3844376233731,547.2602285014709
534.4569562549368,546.9596107386928,558.869055724922,547.1462075990157
535.7324101449209,547.3673638040937,558.2140870861303,547.2970192048389
534.0219041740486,546.8308221016588,559.0700610217605,547.0968075388463
535.277783454016,547.2361038510483,558.4293645038791,547.246166053378
534.4666043817324,546.9306606882101,558.9136259840295,547.1284932426136
535.7462879918944,547.3400213956094,558.2551528977159,547.277188504422
534.0311832093021,546.796102131954,559.1217325440551,547.0657597419302
535.2877346684757,547.1999259720029,558.4796803106249,547.2171655633312
534.6964978109182,546.9962985080733,558.865338791179,546.8734439858966
535.9806648966432,547.4126783279705,558.2007670252314,547.0161596762014
534.2555956991391,546.8654594433796,559.0706192696799,546.8023907959766
534.7370273217748,546.9825685534097,558.889011361302,546.8290291790222
534.7370273217748,546.9825685534097,558.889011361302,546.8290291790222
536.0204632212331,547.3994476773843,558.2219389706348,546.9745744984458
534.2687578460756,546.8566759588833,559.0889059799579,546.7732055174233
535.5161725088393,547.2624283364671,558.4450372068509,546.932198993423
534.7258594336922,546.9852934390861,558.8932637230193,546.8424419983659
536.0163559403327,547.4008530711411,558.2140551554506,547.0021545900601
534.2171901776481,546.8619098015992,559.0808481331444,546.8127201682427
535.4630756559325,547.2650621162456,558.4339690043954,546.9811847337332
534.6903695461597,547.0046128788582,558.858736168351,546.9075011979264
535.9577525740161,547.4144379464608,558.1954096469296,547.0735159170002
534.1295889822306,546.8794010898696,559.061460648952,546.8999878973757
535.369099642076,547.2796285346554,558.4191834560963,547.0709553510028
534.6084422503485,547.0275675615434,558.8353921754281,547.0007734277402
535.8746884455704,547.4352727487037,558.1749186983518,547.1669128799532
534.0312523325391,546.8968136822788,559.0460958053594,546.99251930334
535.2730841788434,547.2985518482632,558.4051822726552,547.1581612013365
534.531598581066,547.0465156611752,558.8196455332012,547.0846644101762
535.8036795326715,547.453134530234,558.1588980749556,547.2467865835166
533.9524334895176,546.9078724395549,559.0421881935358,547.0593505524502
535.1979553245832,547.3077889138852,558.4034918238671,547.220878974101
534.4804091915805,547.0554420859105,558.8151382471949,547.1413821879427
535.7592856942174,547.4638850970857,558.1539081345426,547.2957147958086
533.8982349198442,546.9065692461529,559.0525590884455,547.0985388827278
535.1501328975177,547.3055607441386,558.4131621802225,547.2553869511172
534.4580756479767,547.0523977633883,558.823905450685,547.1673710787983
535.7405142815819,547.4600794114763,558.163958477767,547.317832650964
533.8707340043065,546.8925565760709,559.072839529441,547.1131965640733
535.1266875691123,547.2933939781859,558.4331264546889,547.2644382476159
534.4580923014763,547.0379260771807,558.8438297365348,547.170612087477
535.7452660350041,547.4450076750469,558.1820264230017,547.3191759733191
533.8911232250725,546.8442376503607,559.1213669480164,547.0849687320482
535.1471777730551,547.2445188209251,558.4830579403626,547.2350780664083
534.7091582439364,546.9413266216806,558.8701880295353,546.9873747963841
536.0014795457611,547.3513914871872,558.2042067094803,547.1316318034567
534.1088872485811,546.7674291313191,559.1361581252698,546.9098762185466
535.3689041943662,547.1686408305769,558.4934556918636,547.0588636976681
534.7464257754199,546.9196248025468,558.8891376202716,546.9610549395563
534.7464257754199,546.9196248025468,558.8891376202716,546.9610549395563
534.1214872459764,546.7452438404649,559.15816243343,546.8888463335845
534.7518795926158,546.9121689961453,558.9009547737215,546.9615053528532
534.7518795926158,546.9121689961453,558.9009547737215,546.9615053528532
536.0278233803963,547.3256355784739,558.2349651899401,547.1190091890987
534.0837371403962,546.7411918332957,559.1734570353357,546.9088720973274
535.3652501450848,547.1590966002924,558.5026934463434,547.0621345670361
534.7433518795141,546.9114374309056,558.8942285957593,546.9685158246842
536.054126401374,547.3380348988104,558.1995118817614,547.1199482836855
534.1072544041381,546.7444758804954,559.1472329929034,546.89798006123
535.3588346322547,547.1543173438716,558.4955540696618,547.0586303561978
534.7693065687829,546.9235491254993,558.8665651375069,546.9770530630582
536.047046512557,547.3406121012063,558.1965270971293,547.1341795159627
534.0760412997909,546.7472269239288,559.1474622317098,546.9213787844329
535.3182220016903,547.1540906782723,558.5034625859442,547.0832763790204
534.7440654249343,546.9289489794386,558.8686620356989,547.0066910043236
536.0186649490672,547.3438082313443,558.201719045334,547.165674672221
534.0285069742224,546.7453089906148,559.1607676712774,546.9508540634408
535.2661934066518,547.1512938859859,558.5216576032919,547.1127321480427
534.7143354433597,546.9296244840275,558.8796782830644,547.0370603383227
535.99239563742,547.3448971503531,558.2109691380778,547.1944308107802
533.9806457107884,546.7376537381352,559.185623283236,546.9738339579329
535.2208371207577,547.1429869381551,558.5457277694275,547.1347462942367
534.7440262638137,546.9563548827456,558.8663074567813,547.002429933413
536.0233024371486,547.373094120925,558.1981362863806,547.1566022137112
534.0236140093905,546.7376211548979,559.2021640711442,546.9021835671346
535.2686703672788,547.1446053967101,558.5589711122154,547.0595741362537
534.7551266057012,546.9744638691639,558.8598749002753,546.9889729060876
536.0379222721468,547.3920833404098,558.1894031704459,547.1412247409559
533.9935369702639,546.770539488253,559.180186664826,546.910604811045
535.2346518887791,547.1764011171624,558.5403648369448,547.0693381927596
534.7533701254199,546.9694267842958,558.8720943058336,546.995640277998
536.0360335798367,547.3857584685279,558.1992777244928,547.1520383842148
533.9593416466785,546.7603915561577,559.2010772155198,546.9247905601071
