thrust,tau_x,tau_y,tau_z
540.7627940835326,545.4530281984023,550.0992707716924,545.4489273673557
548.5351540489185,539.4882542273199,544.4580906172127,553.4236948375328
538.4326864037286,547.6391938863322,552.829908705027,543.7112438099958
547.205916594858,556.6908980349243,562.1211644592221,552.7293211669087
539.5493738130972,545.4588475519422,551.2973372161833,545.4511151138337
548.3873630632635,554.4994400974748,560.5362002463761,554.4906885735406
538.9887222912298,545.5078549875712,551.9399165620802,545.4976730745952
537.1851516194866,548.7574690045,555.4180449197983,543.987449684373
538.834223192202,546.3219370267632,553.3048711932421,545.9129533844234
540.0301294646185,547.357409937732,554.1813288224878,546.9448675335877
540.3422743101444,543.232699346393,551.314838375645,548.4561953946628
541.2527938420634,543.419012196928,551.0133339684861,548.8673086673939
541.660115312451,543.6105079248623,551.2503264442589,549.3187091983252
540.7492975160301,543.321260731101,551.448224627537,549.5907279091817
541.5870774975974,543.4402325355567,551.046415807304,549.9007255038155
540.6405813785041,542.903694023809,551.6856613256891,549.4383416779382
541.4472058614248,543.096828029722,551.3200111099326,549.67887403711
541.1988639133278,543.1460519651733,551.321647125846,549.4080894760094
542.1229694160995,543.355700191122,550.9209313234849,549.7143830963332
540.5543534930116,542.8735229627482,551.7109038300347,549.3807695299059
541.4329197104224,543.2013527022895,551.3956765223228,549.5989340846056
540.9033385305626,543.3812561750719,551.6082145750014,549.166504864255
539.1690678394208,544.3043181216974,554.777920234803,549.7128166012048
537.3275085660758,543.9284459912997,555.7981894985146,549.2600356527238
538.1628213345822,544.4446097986614,555.5704266201099,549.3273015947937
536.6925467889026,544.7352305667594,556.7618948703682,548.8875095045232
537.3180489648992,545.445108842579,557.045952047428,549.0831730959885
535.4405916885457,545.1029768744598,558.1048295891904,548.5763576034466
536.2509139551299,545.6589886621622,557.9095963362059,548.617864127975
534.7511889105155,545.9826581119299,559.1436582748671,548.1710299826894
535.4667585660637,546.7198355429477,559.3342377967117,548.3554477472268
534.2756854982507,545.5218637117343,561.0542418822915,547.3858095666036
535.3298808863844,546.0845794938316,560.5852550840112,547.4138296646207
534.8232606531436,545.7374948542903,561.2006246367501,546.9831584216972
536.0001819554826,546.2897057125543,560.6169742774366,547.0182570105734
533.6473691331317,545.1851429659996,563.6328284328887,546.19560130382
534.6921768414692,545.8821932347201,563.5483052888686,546.4252872296198
534.7143169399927,545.0024718069416,564.4383068789684,545.7092735297532
535.7027715005264,545.7143022930426,564.3857528537064,545.9834461953583
534.6140602730344,544.5651506939013,565.6504716652795,545.2419957720833
535.9256007013163,545.0488646664978,564.8657968405992,545.3817638314285
535.9587945454874,544.2749057666845,565.4889009053056,544.8346671431827
537.3760602762106,544.8245053854239,564.4831599321848,545.0165364494758
536.3159021364432,543.7722162445701,565.485237292155,544.3954213999068
537.7156866604056,544.326126669848,564.4318202041956,544.6145602904905
537.7757635440199,543.6468938935961,564.8589172708733,544.1631317207743
537.3628494364921,544.817628912748,566.6613588823087,544.924143084593
536.261214325533,543.8679026572379,567.517279668952,544.4010121136686
537.5913280329208,544.4684586040777,566.4268902482501,544.6845929825316
537.5425063684885,543.8599113074149,566.8002777111793,544.3187820567088
538.8552235415073,544.4824299044488,565.6943628759308,544.6251148108804
536.5846107991342,543.7826274774409,567.8755759045674,544.2668873511067
537.8229590253035,544.6650492664418,567.1824151205192,544.7687741901601
537.8954492376827,544.106341749691,567.3761881365966,544.4129818565474
538.9255536440904,544.9809738486769,566.8972472397617,544.9469683669329
537.8880152385085,544.1521666491888,567.5192367248885,544.519803757539
539.2803844255956,544.8004706554932,566.2363880704671,544.8394022265217
539.4065040942913,544.2802478851914,566.3142967923518,544.5015958504209
540.83492655423,544.932598992899,564.9914387231049,544.8129552526049
539.9288860562214,544.1310076936123,565.4597326176148,544.3860774984623
540.093645268124,545.3114900395229,566.2916081748842,545.1652330071331
540.282614388248,544.836816710363,566.2480964652168,544.8679498922329
541.6689702370572,545.4717814039428,564.9385229578487,545.1960693253689
540.801042535142,544.7350012081845,565.3217366413855,544.7789041645307
542.1584344539339,545.3525491097116,564.0319775078897,545.1035819848331
541.4268381747522,545.3779851890071,565.6320857402477,545.189773399633
542.6753724983901,546.1716744758385,564.7971531610161,545.7289194043395
541.9023062194458,545.4926397981728,565.0280631181695,545.3654227917161
543.2273374449148,546.0964336518268,563.7547720751853,545.7050331476198
543.5266857062783,545.70478074242,563.5051195630427,545.4195935186456
544.8324029181683,546.2796341964481,562.2347164946563,545.7552624722762
543.2248704638544,545.945863038489,563.772388005806,545.6054167789844
544.3754644447083,546.7543898523382,563.1204479507925,546.1966013747306
544.72066977221,546.411176845488,562.7465513636278,545.9622935981548
545.6492749873819,547.2335691221505,562.335541518969,546.5583636771545
545.135554440839,546.6627416241993,562.3137077717591,546.215767077703
546.3652828951604,547.1966736135437,561.1062093021883,546.5656270973468
546.8156934631738,546.8663546500637,560.6001845485443,546.3216775140431
547.4226343417894,547.9309254898618,560.989481330851,547.1521821922498
547.0798950138784,547.3968675222817,560.767442698285,546.8232875726062
548.2448320170903,547.8770809525372,559.6231842873883,547.1661106707339
548.8449209477948,547.6112684866782,558.9844913849664,546.909686245754
549.3848018973442,548.6058373880048,559.3523539906768,547.6802289929383
549.1418136920333,548.0948285514575,559.0077756946192,547.3411684883856
550.2452008305057,548.5150364140833,557.9256554788972,547.7027456680812
550.9838151999348,548.3048786581385,557.11667214875,547.4820700213475
551.4416935492943,549.2395341768715,557.5770141445051,548.2420134916536
551.4009733640934,548.7860692280261,557.0638203514038,547.8742427571096
552.4469620852664,549.1716179169649,556.0364936939751,548.2177172857666
553.3385058304334,548.9828301229854,555.063489382437,547.9869493944062
553.7615763401222,549.8847693110275,555.6002256669232,548.7918151524345
553.8131140514176,549.4801533368702,554.9274753221904,548.4530270490435
554.8056672332797,549.831830299859,553.9520092899498,548.7926946876739
555.7267169425282,549.8842478909983,552.6350918894108,548.6563033927154
556.138987610131,550.7805848970987,553.2066097173429,549.4575041858861
556.5955786649502,550.2013155706275,552.479589015592,548.9557669663667
557.459388389844,550.4659060951453,551.6259472990372,549.3276931102806
557.7063408683449,550.8270012640065,551.371602703045,549.5222850876388
558.4488502977495,551.3311549798677,551.1136482662394,550.0843811368635
559.1872830408022,551.1164845379775,549.6936006366822,549.6508058453003
559.9632856312181,551.333704511172,548.9297461544428,550.0093773273737
560.2072037655015,551.6936991982398,548.8148721053741,550.2837134425287
560.8776891628111,552.1321631999841,548.6683661281779,550.8880369084634
561.446661441718,552.0014277171981,547.2763317476976,550.6075815966267
562.0910249539937,552.1666702490703,546.6571964876974,550.9515918094646
562.3382181269153,552.6660139531784,546.8968571296286,551.3675661638848
562.9791681374024,552.7821416944358,546.2976774154322,551.7290566559556
563.5361474682793,552.5945688902755,544.9694583605902,551.4732911871547
563.8043641026219,553.1814875072776,545.6541606647133,552.2359042319586
564.3120329958768,553.150730144525,544.8632878879171,552.3224959466603
564.6714024368189,553.5365571914975,545.104782170584,552.8820639930385
565.1416761060564,553.3403512818253,543.9206783855964,552.612026683796
565.3874040382842,553.6553156194146,544.2424672150652,553.1686652099145
565.8436760786901,553.5560803398488,543.5522543038925,553.2797514251079
566.1979840394088,554.0535982700407,544.1818685779822,554.0216830370509
566.617912631486,553.8323057117796,543.1203333899923,553.7650198428719
566.7837901927562,554.0801897900985,543.4297510167755,554.2133494820226
567.19071196006,553.9870976832331,542.8288687358776,554.2957265349337
567.4845076209436,554.4282881841091,543.4717062472296,554.9825863990947
567.8726384528757,554.1673992936435,542.4806554951165,554.7470407240094
567.9642659226412,554.3648837823788,542.8614521759264,555.1858489802593
568.2365615103471,554.5765475844861,543.0927332856671,555.6335493663323
568.5831701240269,554.3450912159634,542.1576784735478,555.3560720603746
568.6766736380605,554.5764062247465,542.6050737539111,555.7879499770472
568.9279123296606,554.7645727368836,542.8783036942507,556.2552589029693
569.2410333432889,554.5145886756391,542.0479050333764,556.0418543446456
569.3003609984838,554.7557423228542,542.5626383557399,556.4802143840834
569.5407969790831,554.6403929412544,542.1503578440985,556.5120012537232
569.7208958084966,555.1027072242325,542.9558207915454,557.12357515482
570.0075787061894,554.8702132334918,542.1895837459216,556.9001902860614
570.0123533153253,555.060471060471,542.688684626945,557.2964246775572
570.2039803864037,554.927115642682,542.345461327373,557.3352831639694
570.3148876000085,555.3700062714687,543.1892968132195,557.9093706309742
570.5419509545842,555.1613997062337,542.5162461349723,557.6639407515977
570.5010463351443,555.3742057554431,543.0578272205423,558.0078935095925
570.6507294588504,555.2557851127943,542.7871363807487,558.0406880958963
570.7479016655907,555.697416790125,543.6583062075601,558.6061775593469
570.935109130756,555.4796069220201,543.0528103174149,558.3712169002995
570.8643758655344,555.7046294620131,543.6501918346225,558.7058703572209
570.9737435423172,555.5964487092263,543.4372030724825,558.7243644821456
571.0528615238477,556.0606715328979,544.3642583101516,559.2862538976113
571.2085801974725,555.8418335664887,543.8208934817864,559.0569723877268
571.1318120754211,556.0644027614541,544.4447974642155,559.3948095849784
571.1856595993368,556.002962781227,544.4455101442521,559.5338132074911
571.272782457493,556.2865401833712,544.8721358777577,559.6705247409006
571.2932413154546,556.2248729465439,544.9120728867827,559.8089509714521
571.3529280615192,556.5907203139444,545.6215780014597,560.1660407188799
571.3724788048406,556.5336475772574,545.6637663118938,560.283524116072
571.344451038205,556.6734270652388,545.9509206083807,560.2912853062016
571.371562351576,556.8982995167049,546.4750340982988,560.5961841843109
571.3995604609862,557.1140722217814,546.9975205871233,560.900715920924
571.4510057336665,556.9548585880412,546.7276006415041,560.7322386125545
571.4698377456984,557.4164529703683,547.6749461736821,561.1865844449057
571.4458070178448,557.3819154957722,547.7738982176338,561.2580307100559
571.484267525269,557.7437644036488,548.4348204681037,561.4710271191275
571.4528809825476,557.7021199253121,548.5441470549695,561.543425867207
571.4977519315177,558.125512501014,549.385961905826,561.9094170942008
571.4508019409125,558.0799193029211,549.5220771312801,561.9844842071444
571.4857313154057,558.4918467794685,550.2957796353957,562.2506085731451
571.438334773907,558.4773657640151,550.4242868000308,562.2810593322279
571.4921693798015,558.9926550302623,551.3876609546279,562.6978243833757
571.4573806338826,558.9432333698654,551.467118352552,562.7054567268477
571.5170545928181,559.4301985819613,552.4231514431247,563.1402299304858
571.4720329525628,559.3883743765358,552.5368349900078,563.1614377106868
571.5170885625059,559.9271223127784,553.5450030234991,563.5697504987953
571.4435538229036,559.9281190209979,553.7148844995222,563.5672095442079
571.4919321580319,560.4777167226981,554.7479512068963,563.9818837197984
571.4232684355777,560.4430827717174,554.9157684423178,564.0103057113719
571.4834010548105,560.9691192197172,555.9488059641093,564.4517257539045
571.4040433994276,560.9497347142236,556.1290610737412,564.4577732825362
571.4589726272404,561.5239390356999,557.1541732895206,564.8339213480738
571.3670461076844,561.5377409481071,557.3389538063847,564.7958592468549
571.4147255683404,562.1001169344315,558.3809467578639,565.1897166115955
571.3264103296642,562.0609149290665,558.5650183729056,565.1992753477305
571.3787971438727,562.6017115887846,559.6049430001895,565.6119562239418
571.272097159653,562.597674382859,559.8013093127962,565.5804445683277
571.2955856747886,563.2016339400229,560.8634429876272,565.9256853596116
571.165756473697,563.2175304530828,561.0769331959307,565.8673384214318
571.1960097390033,563.7793076900296,562.1216767702736,566.2473304211003
571.0850523165244,563.7357383454788,562.303262230996,566.2415800542283
571.1281122132347,564.2764517183515,563.3009519395061,566.6148176747131
570.9941530973117,564.2816516185034,563.4866872203994,566.5475490574436
570.9880602744219,564.8874248908799,564.5227789742681,566.8538346107863
570.8316090651433,564.8928227655449,564.721438338113,566.7819730131203
570.8499119006078,565.426722874371,565.6972305253056,567.1341593085622
570.7169687814604,565.3722760743619,565.8486484819276,567.1094157324605
570.7066801475567,565.9198238595548,566.8369495104678,567.4397019335322
570.5256123255671,565.9336372238727,567.0213209954685,567.3418584515623
570.4875746233382,566.5184044933314,567.992673452862,567.60796886066
570.3093771097359,566.5022190700686,568.146830519492,567.5284580126511
570.291534733598,567.0024517836316,569.0578982192826,567.8522120875972
570.124362806538,566.9387206805839,569.1781783706919,567.8059328757064
570.0589355220924,567.4745127462814,570.113239492278,568.0809449932676
569.8294321785859,567.4827517830508,570.2768729623,567.9544923080435
569.7232623676355,568.0388634220332,571.2152431611223,568.1906693490514
569.5005953195168,567.991152140375,571.3455218056511,568.110027960523
569.4118230519684,568.4614152492329,572.2249174696523,568.4034750238957
569.1847731725952,568.3922844764134,572.3339124231416,568.328402047983
569.0445054553236,568.9088510579373,573.2178358505166,568.5437657746194
568.7727333958543,568.9015309572666,573.3391417338993,568.3974446991077
568.6137067969165,569.4042715013933,574.1899835287097,568.5977818784854
568.3652697627455,569.3198198668501,574.2587645545842,568.5115368439943
568.2164175664765,569.7413024905209,575.0493759882712,568.7502130761285
567.9324045816513,569.66907837985,575.1324633606267,568.6405342871858
567.6994313400805,570.1647156546254,575.9727907388778,568.7894721652561
567.3548208577645,570.1408130805655,576.0862861664936,568.621363274375
567.1076410057653,570.5933268535748,576.8882518975062,568.7828684911896
566.7941300530214,570.4804266374714,576.9386435349144,568.6862128467848
566.5519566641088,570.8697093286033,577.6809301714501,568.8676500944888
566.2298085662455,570.7800477671285,577.7008252693454,568.7220783623355
565.9563321120806,571.2104221552408,578.3984715579122,568.8049111868614
565.639156878302,571.1316488005751,578.3769556176435,568.6296108173127
565.3332351488716,571.3617967084135,578.8256973608502,568.6394686990692
565.0801613251717,571.1983964226106,578.7110845299264,568.5202872161734
564.9100148666233,571.613572157161,579.3639434201253,568.689516573113
564.5997904719953,571.5033388044278,579.2823118006696,568.5001183938313
564.2440419124745,571.7637468240684,579.7177494653725,568.4320322909128
563.9413794972709,571.6308992637934,579.5943459519755,568.2438875526464
563.7539336095803,571.9956919452482,580.1564455153335,568.3761518072295
563.4981014924717,571.7956285029811,579.9617829447344,568.2289214085741
563.179870893912,571.957914636,580.268973790706,568.1727832640172
562.885679726061,571.805612569488,580.0887816792217,567.9572920469731
562.6325611524862,572.1783633972572,580.6164219551431,567.9890398291138
562.3498477477593,571.987901331396,580.3999124012497,567.7943101158354
562.0298753386528,572.0920298359335,580.6312655149368,567.7289619481811
561.7704266762618,571.8596630663911,580.3715926725624,567.5528252771928
561.4312970778999,572.0374004795909,580.6757564089078,567.4699098660196
561.1288638316814,571.8459006186299,580.4345601101794,567.2341281142269
560.8809012902385,572.1578892272904,580.866586898932,567.2429424129194
560.6129435850926,571.9121425125616,580.5728195673951,567.0425549154144
560.2845924782273,571.9636233425987,580.7193287455818,566.9375766172335
560.0257587073787,571.6999252151801,580.4014409902381,566.735341506865
559.6827874868666,571.820242259992,580.6079552002293,566.6056651224917
559.4028566214101,571.5779674536416,580.2920752434381,566.362535548011
559.0709805804503,571.6941142290735,580.4905320733612,566.2405712364887
558.8241041802511,571.4004960938898,580.1298332862605,566.0333188641641
558.5203478657326,571.4799874160798,580.2931857626272,565.9345443116109
558.259262798917,571.1890471601782,579.930344410548,565.7074560428722
557.9240432910102,571.2926085994372,580.0980628002334,565.5599402489448
557.6543120282164,571.0089022240242,579.7282502257049,565.3101544072354
557.3400119972611,571.0793285839524,579.8560745467009,565.171928425221
557.1083464397906,570.7495304959457,579.4414943864666,564.9531421800609
556.8141381322408,570.7961011435468,579.5429296907813,564.8200652011316
556.5892109614052,570.4743730273883,579.1273645810079,564.5834893269016
556.2980475726105,570.5376006355315,579.2289888763432,564.4230673600653
556.0932436950172,570.2102145481847,578.7968550877371,564.1829991226077
555.8430610776616,570.2461405821059,578.8635765132229,564.0412234497186
555.674889141835,569.8882582208548,578.3998891468265,563.8222306799152
555.4462494633086,569.9167701216085,578.4526241452076,563.6805042900733
555.2851459094402,569.5631248988544,577.9819131695529,563.4455442884846
555.072036198332,569.5958763288063,578.0230802556327,563.2907724381519
554.9343249979831,569.2295774304387,577.5316960136213,563.0600631559848
554.7553907387927,569.2429991526711,577.5468499068108,562.9194761213819
554.6426207182715,568.8605978741757,577.0372596095817,562.6982900201227
554.4832834236962,568.8748600157394,577.0458665628139,562.5559400010396
554.3870148986596,568.4948807908465,576.5344371959204,562.3322494313782
554.2583784943189,568.5118225831137,576.5373776974164,562.1968414963513
554.1929129524839,568.1172116296372,576.0048234649918,561.983491829016
554.101732480457,568.1268094386672,575.9934775678178,561.8631857064134
554.0564730426571,567.7283617781874,575.4574828036842,561.6566530416648
553.9947939308179,567.7447992891636,575.4474471344927,561.546224209957
553.977466500594,567.3366796215793,574.8952740319378,561.3479744195116
553.9509069591797,567.3512464247397,574.8760302288889,561.2516568476849
553.9532171151623,566.9382759994795,574.3166678156736,561.0583723323098
554.0442470627468,567.0882485762467,574.4297646203308,561.0637472200974
554.0699466335868,566.6746295203909,573.85924257949,560.871128543055
554.0676641891274,566.6209871180099,573.7423292481099,560.7435589954845
554.1219277362773,566.1944526924042,573.160775527146,560.5707995216115
554.1667279977869,566.1931780355065,573.1065294427821,560.4901820192734
554.2309922628276,565.7719907299881,572.5315971186666,560.3186664646009
554.4065366861784,565.9452862152973,572.6494373545675,560.3572869936024
554.486041152836,565.5303611189793,572.0764879788287,560.1914978990717
554.5706138205534,565.4952130386598,571.965653669655,560.1113489959528
554.6793665890655,565.0603493294836,571.3784371905192,559.9728198850028
554.8982751596803,565.2199168591491,571.486319776107,560.0488333575935
554.9954867751806,564.8002680894677,570.922722765108,559.9079964655726
555.1076229032471,564.7916926336667,570.8343537741212,559.8463434606632
555.2315729727936,564.3753806091789,570.2602416710782,559.7151934080337
555.5244129910039,564.5678125754325,570.3786815532334,559.833920175054
555.6638610590242,564.1335305339047,569.8026935400048,559.7324859180324
555.8281823548226,564.13025227814,569.7236743402174,559.7203802899165
555.975914181837,563.7162212884658,569.1522146122762,559.6045517898389
556.3349369434421,563.9550903183881,569.2789578555432,559.7396679659556
556.5449905267692,563.5295512252195,568.6574043190361,559.6385772141357
556.9111937100287,563.6575476348002,568.6560626401056,559.7588369365948
557.1408908216316,563.2110154609798,568.0283497010723,559.6885018485177
557.498407049296,563.3444720964396,568.0356548713063,559.8051271196383
557.7287492565166,562.9275101040001,567.4140184416984,559.7153138366401
558.1392425175407,563.0845526956992,567.3888264601709,559.8263015525876
558.4242585341609,562.654231648152,566.7228371380305,559.7596658271436
558.8870324630653,562.7901864700444,566.6760686510668,559.9202836974961
559.1878708788728,562.3400873551607,566.006196473057,559.881393819434
559.6643721118133,562.4946643666677,565.9657764562938,560.0425005402047
559.9928309334113,562.0680960509204,565.2692656432517,559.9809408602384
560.5409285108753,562.2403273813126,565.175181563426,560.1416003593021
560.933063283736,561.7907688287661,564.4237525306595,560.112186104629
561.5244576198404,561.9298226728388,564.3037326846409,560.3263768461125
561.9012545321326,561.4658666003355,563.5669948359764,560.3209481320023
562.495969931767,561.6401603690282,563.4622015031487,560.5252994253094
563.3638656893112,560.9563727494661,562.0826618827493,560.4814861953045
563.8279538420092,560.4954540207899,561.2651416044165,560.4899066805041
564.4973060956062,560.6376982691418,561.0786220877808,560.728983188671
564.9506451887768,560.1650495466889,560.2689719349473,560.7540578681978
565.6440038592469,560.35152367337,560.0912823911582,560.996637502803
566.1386349930253,559.9144000533774,559.2399311430825,560.9957029536739
566.8973185455826,560.1111587857279,559.0103863770519,561.254811817701
567.379725398511,559.6406211875765,558.158427075319,561.3008331736725
568.0992255915503,559.8110870295881,557.9686074867963,561.6091897009857
568.5162416897545,559.3494298239323,557.1726799776582,561.658003073672
569.1909178350048,559.5694334437445,557.0166281535113,561.9316764411213
570.0819608032616,558.8949813282215,555.5651910345312,562.0157227491868
570.5032141290242,558.4207627935917,554.7446944367306,562.0864012345355
571.163467426,558.5924199381086,554.5632652785984,562.3937728640997
571.528573609269,558.1360960132446,553.7877355976353,562.4574034595107
572.170351545612,558.3744765350787,553.646609826105,562.7496940182552
572.5099763183798,557.9567206020132,552.8856988006336,562.7905839870293
573.1416711964379,558.1902032988178,552.757546434003,563.111524009558
573.4159991221733,557.7339561946209,552.0510003982687,563.1994257521496
573.9281722444953,557.9573971580958,552.0237679927826,563.5387541279755
574.0994488832478,557.5357763975536,551.4038290821069,563.5961586934637
574.5868110899131,557.8106923574584,551.3940194184725,563.8900811863646
574.934032452746,557.173015020323,550.334105635902,564.023463754401
575.0321862276097,556.7237315920619,549.7574314686134,564.106008641274
575.3954352722247,556.9484546775162,549.7944064490683,564.4034813150736
575.4150532150137,556.5457133697387,549.2854319814493,564.4483832966031
575.7226948631168,556.8320743156646,549.3905324969728,564.720348467481
575.682338624949,556.4372788443203,548.9245542415294,564.7557888726807
575.9142055970779,556.7020626336254,549.0962228325544,565.0518540280256
575.7538371790737,556.2972223864823,548.7448686911733,565.0981186633081
575.8551259863896,556.5903301712862,549.0345881306241,565.3565391841653
575.6096537420643,556.2356485911632,548.7622448683567,565.3455272008683
575.6779904666706,556.5580605022503,549.0735482465975,565.5629282304428
575.4033095494242,556.1965967682206,548.8241105676333,565.5514121865725
575.4253933087388,556.5077372190059,549.1859600486976,565.7807709798036
575.0814457473592,556.1547041483353,549.0116717857296,565.7646395867616
575.0366125712687,556.5103343616996,549.4481304214605,565.9548786749626
574.6380170704583,556.2019054219767,549.3251781566763,565.8856361179326
574.5823588479658,556.5754599032945,549.7678224055337,566.0480295954936
574.1804236153451,556.2637976183122,549.6517814769452,565.9741173533653
574.1080116101518,556.6350676436393,550.1153034307785,566.1325572896012
573.665273849187,556.3413845082788,550.0430309819021,566.0343296599601
573.5658751426623,556.7461832747524,550.535165174574,566.1449903692011
573.1165397301769,556.4781847131923,550.4699426484087,566.01089346262
573.046012403716,556.8970172741851,550.9382329710731,566.1025890217219
572.6252335475773,556.6240563691167,550.8429325452337,565.961696428301
572.5761397140607,557.040497584899,551.281611434604,566.0393437043458
572.1593217607091,556.7882916290428,551.1861283314349,565.8713394516898
572.1258077637146,557.2317263448379,551.6161615371019,565.9175406178673
571.7356230462381,556.9932489712282,551.4981772985665,565.7298322607621
571.7472873519984,557.4383490641958,551.8910834815795,565.772213388352
571.3870288950566,557.1963861290961,551.748101620052,565.5827229183063
571.4298970086469,557.6565113202195,552.1269328959283,565.6161548669121
571.0972251019953,557.4266095864128,551.9657045504472,565.4111864589761
571.1831018923021,557.887605492243,552.3147942756912,565.4382772326848
570.882900178065,557.6504331999639,552.1314277308593,565.232359824526
570.998618340806,558.1184327169851,552.4758723837148,565.2603663885424
570.7088987388416,557.8809053885326,552.2965115704773,565.0523980243888
570.841528639524,558.3571141840021,552.6486243372369,565.0792013914145
570.5595647850847,558.1193712637322,552.4749830776177,564.8682624533321
570.712229908333,558.5966836760131,552.8306020322547,564.9005324962221
570.4321238118343,558.3522324412211,552.668454675338,564.6938385156596
570.5865889310053,558.8317986644192,553.0464202098981,564.7317972862539
570.2948310994416,558.5863583359687,552.9091744983206,564.524857396207
570.4555620236025,559.0690843575684,553.3043313808638,564.5690185839901
570.167043154647,558.8154766274002,553.1756503187767,564.3701007564787
570.3361382452449,559.2813383265136,553.5776815263583,564.4328473935764
570.028279093136,559.0191644992796,553.4773222090786,564.2407820045524
570.174841095072,559.5051795975144,553.9276031493451,564.3005414277924
569.8460182347121,559.2498474356254,553.8604198877176,564.1060511303084
570.0021830094424,559.7384180497471,554.3235132681265,564.1783600105234
569.6762674724866,559.4664951415932,554.2596152289226,563.9989540381546
569.8284324048196,559.9392759278288,554.7334807103701,564.0872898966142
569.4691934056445,559.6742728838962,554.7107561027507,563.9055310271693
569.592218075792,560.1656008414988,555.2307504726098,563.9890012091222
569.2188173573636,559.9039789032222,555.2290517595085,563.8084874094044
569.3609017498425,560.4031742369666,555.7544850426602,563.9062910357561
568.997830920937,560.1350280941933,555.7509285192579,563.7398075770166
569.1333094130435,560.6342537143415,556.2923993221162,563.8468387832654
568.726194227985,560.3819973568521,556.3364579307429,563.6675349884546
568.8314057066507,560.9036296458469,556.9192423660229,563.7634934515298
568.4235316476297,560.6507273695129,556.9674098557089,563.5890523320787
568.5693119226087,561.1689825218217,557.521514425625,563.7067681339522
568.1779075682077,560.9094740416031,557.5566157765974,563.5456720300589
568.2987165105752,561.4396468447491,558.145323361425,563.6577896040789
567.8528672196815,561.2057540106497,558.2372727914818,563.4732499802903
567.410256944709,560.9743957267251,558.323939817982,563.28928733984
567.759366917604,561.8722955388538,559.1400989015285,563.495934096683
567.355433647939,561.6208956810469,559.1887690025403,563.3357657094664
566.9435199197079,561.3637570813362,559.2401850878566,563.1758661060747
567.3353215327461,562.3170676345743,560.0917386439364,563.4152824360891
566.8791010787656,562.1070038417427,560.1951483977545,563.2224164885064
566.4354812024591,561.8857097774916,560.2803149282336,563.0384519612463
566.8671233505326,562.8569884244404,561.1201022474148,563.2962781264674
566.4625648334022,562.6237757055883,561.1705779271065,563.132451343928
566.0440284331182,562.3884789219808,561.2277294035392,562.9648028652116
566.4509615836678,563.3856886903028,562.097635819556,563.2072000291823
565.9780287919494,563.1872037782932,562.2112376557204,563.009354860033
566.1470043417437,563.8244544428907,562.8646452064323,563.1596399019251
565.7216119676581,563.5897460583928,562.9203271375997,562.9939325612739
565.8819354201362,564.1732858900634,563.5015862615276,563.1221460591497
565.4301097029808,563.9396145958713,563.5745092525779,562.9491117409126
565.5138247138677,564.5301620081208,564.1959246265187,563.0374022978107
564.9992550053768,564.3165131889466,564.3258153734516,562.8412123901646
565.0762190719139,564.881312117354,564.9326900494788,562.935551930881
564.5984402508823,564.6280018609394,565.0116304289654,562.770918549884
564.6920796489851,565.174713052678,565.5795379203313,562.8734628439391
564.1764572019989,564.9255003152688,565.6759824291752,562.6939054650087
564.199870805331,565.4922675606612,566.2836149614714,562.7562914837131
563.6676615082164,565.2552735277552,566.3818341629445,562.5646268272551
563.7320945373414,565.7933712261047,566.9270703616224,562.644609003199
563.2475787029776,565.5125126630484,566.9642012532803,562.4859996721902
563.3108914343168,566.0332308149575,567.4845122140466,562.5631142747145
562.7628704562651,565.7886017953934,567.5762123990116,562.3684026008056
562.7612981468742,566.3405534480354,568.1425353912708,562.4055898196222
562.2085790652964,566.093069200395,568.2249213961434,562.2093202723293
562.245640156707,566.5978038003525,568.72699985718,562.2716183661317
561.732657576441,566.3135804131755,568.7540911436685,562.1020691548886
561.7469127655653,566.8126324560072,569.2500651344512,562.1483092244072
561.1691231665855,566.5558436318241,569.3247190943649,561.9432391552469
561.1320672036197,567.0684147629014,569.8421851632951,561.9560174683052
560.5731213439742,566.7927569156813,569.8816851406273,561.7618669543377
560.6028912053509,567.2661711358537,570.3087216526932,561.7990940446094
560.0851035646651,566.9657534641057,570.2947168874288,561.6220013094069
560.0892864028309,567.4437814678721,570.7226506721917,561.634524724551
559.5368830987903,567.1638016736936,570.7259385756305,561.4269391829148
559.5286719730933,567.6405695990074,571.1395547577317,561.4185290139422
559.0230568964748,567.3307252489011,571.0849343247464,561.2310613682029
