thrust,tau_x,tau_y,tau_z
543.9867446649166,548.6039053581092,556.8725208261652,552.3244862995161
540.343996350359,545.2910071428396,550.1887636423577,545.2861886661138
537.3416515812527,542.6164782231599,555.4329408495438,550.2809824073527
542.2707454174523,547.7956426812086,549.5794035742672,544.0726198186202
546.6370206828134,552.4132609235348,554.4365889001589,548.6816493486078
539.2290179014149,545.3825698763995,551.4587570427817,545.3737681188397
543.9866094512121,550.3829889251987,549.1154317502256,542.7041131395393
537.4093545035512,544.1824765435869,554.531923514869,547.8867593959069
541.7813651174323,548.797324841435,559.389220729686,552.5077777024783
538.1355927601035,545.4970468832277,552.7460163670879,545.48239810036
539.391808070574,547.034037652726,552.987158426255,545.428346778674
541.1097753850565,548.9208132763252,554.8844556821249,547.1585219759733
537.3298393846649,545.5979829442063,553.7226094015577,545.5776068410269
538.5881982533372,547.1692579669539,554.6188698589015,546.15669630943
537.725322814816,546.5646224181083,555.048538790996,546.3465117562567
537.990627245761,546.878870440111,555.3053936598682,546.5535653287536
537.1972121951849,546.5993728693041,556.2737468541554,547.0432090652987
536.7460344283874,546.5942400231758,556.2369236875783,546.5626720310736
536.7507455912643,546.7746417329689,556.5840200378676,546.7199200095286
536.4497242919348,546.8178806967177,556.9542948559235,546.778584491587
536.1943064679642,546.8645324243374,557.2883731867961,546.8217901748692
535.9403287877279,546.912644680619,557.6234297599703,546.8662600507439
535.687797526571,546.9622193616368,557.9594578602756,546.9119906143997
535.4367189376591,547.0132583364119,558.2964507756246,546.9589783445278
535.1870992622545,547.0657634428129,558.6344017932702,547.0072197004856
534.9389447248448,547.1197364900647,558.9733041999922,547.0567111245833
534.6922615211419,547.1751792583482,559.3131512948928,547.1074490421586
534.4470558401633,547.2320934979116,559.6539363677622,547.159429861025
534.2622130280625,547.2950906864135,559.9182897567923,547.2141976885707
534.0414264321665,547.3554317502372,560.2370186248155,547.2666639433398
533.8237896671342,547.417082416188,560.5554878091385,547.3198611437407
533.8514088591778,547.5265043123019,560.5460863401099,547.3540135044676
534.392678307441,547.880794845956,560.5720198233114,547.5591356078672
532.7717059002665,547.3710480001203,561.3861808053839,547.2991494994201
533.7882381097946,547.6852371198929,561.0097707371685,547.4057351027361
534.3724716189315,548.0481571607479,561.0016648359481,547.608621758536
532.7857676005697,547.5839196753617,561.7078946553811,547.359950569787
534.0815352626814,547.9619251255505,560.9729042808417,547.4430062715342
534.6853809702022,548.3256803261812,560.94654393859,547.6468313807195
533.1425079133459,547.8352950925753,561.6912078781705,547.3958082372183
533.9072559091564,547.9530410420886,560.96479787666,547.3397318061653
534.5314537779927,548.3171471225452,560.9234358152523,547.5447286923126
534.4367732930467,548.3620669640318,561.197373005671,547.5873217476386
534.7733189187062,548.2923126714809,560.2661716293214,547.4538475445621
535.3843257564251,548.6461282384645,560.2319975023423,547.6658712221123
535.2863485707994,548.7077149447456,560.4699330474966,547.7253799532434
536.2108165521615,548.898527417769,559.3602761267598,547.8233014645643
536.8198574749329,549.2469455179038,559.3345795477851,548.0416217100003
535.4049040373483,548.8752792369023,559.8766104755376,547.8523793528714
537.0268372300075,549.3103842172166,558.481267838603,548.1367699700163
537.6394502159159,549.6519002399673,558.4665869426652,548.3586277934896
536.2836189292735,549.3066715492183,558.9636230132737,548.1775876054315
537.419912661246,549.5260651830786,557.5605043995278,548.3116214361721
538.0274802022968,549.8536933986766,557.5609912264347,548.5346094671182
538.6434142757341,550.1853549964823,557.5594600670094,548.7578082186235
539.4258936987053,550.2028983402374,555.9498905105888,548.7991028081753
539.3779073454124,550.3232839562438,556.0360820656219,548.891226120107
539.94434837129,550.6291467867454,556.0757040487636,549.1199520890302
541.1507614712183,550.8442656086792,554.5270993647257,549.3302252188366
540.0268190786097,550.6034955809441,554.8528416449717,549.2080653208286
540.5661592977613,550.8901987615818,554.9310874472792,549.4405145003063
541.9487486921248,551.1028790933643,553.2406479788948,549.613526984774
542.009367410383,551.2538310465047,553.2282230406524,549.7013701005018
542.5613599574496,551.5330745901615,553.3165040160442,549.9327878548584
543.332458762977,551.4205715778833,551.2649859931706,549.8416684583516
543.8497688361878,551.6795926018856,551.3843719972718,550.0730760364892
543.9959711619472,551.8606814397333,551.292377492761,550.1667522689881
545.4654535898427,551.8972897000094,549.0277590175508,550.2019152223622
545.96391078822,552.1407140573447,549.1823671400194,550.4371797485303
546.1694297540196,552.3368875302068,549.023634211746,550.5246283543776
547.8261678161748,552.367238896411,546.5852664197249,550.5574794279545
548.2861177327268,552.590825389506,546.7877240977774,550.7981463663715
548.6058351248695,552.6672436859125,546.7283937659197,550.8020718350391
550.717598856948,552.9779297853253,544.6634076111644,551.1821035636679
550.2569607739549,552.9654862698635,544.2955152940197,551.0189789627465
550.675971485994,553.1744485517851,544.5434273032236,551.2681520375327
553.2328027529595,553.2917867190218,541.6466903749923,551.3378863136487
553.6096288163682,553.4815343152909,541.9452972945746,551.5875759870695
553.2228483186428,553.5919483977492,541.3807009124521,551.4826703759711
556.3796960683867,553.6321516650347,538.5555070532507,551.5869674980486
556.7170229865868,553.8009594346015,538.9022383387354,551.8446771079571
556.7637151929202,553.6141289097418,538.4899492113824,551.4822892143704
559.6141679804763,553.1676958678347,537.1952779373361,551.6246291858895
559.5983842283902,552.9933250180106,536.9094953191548,551.3216872408017
559.8361048598902,553.1403385395934,537.3502213315503,551.6001023470096
561.8401597006185,552.3784897272351,536.1696607447204,551.5681494820986
561.9100192587991,552.4150350505887,536.4200010605656,551.6720206004661
562.0554990561725,552.5616011868424,536.9220204180441,551.9711402538622
563.4003999700464,551.6767689261366,535.5776638028656,551.7263082661855
563.4865310467924,551.8266434402093,536.1006553996085,552.0354716697818
563.5711407216149,551.9824975717223,536.6267770856624,552.3437329021962
564.5011133307067,551.5344996219935,536.0601901259716,552.4849773561938
564.4009529101152,551.4195864580854,535.8769146206307,552.2640174534184
564.4513107251557,551.5860615394014,536.4078544756203,552.5760517494699
565.3591550916273,551.2537708789727,536.0090380478213,552.8843915130186
565.2640809246765,551.1582159649474,535.8210265309917,552.659106746382
565.2983030803,551.3377169584076,536.3529141665247,552.9698172799631
566.08500096412,551.025128751996,535.9210413970503,553.2485642699106
565.9860078853352,550.9512435375535,535.7576048393629,553.0256443513565
565.9956091011168,551.1448279079151,536.3032321128469,553.3297625051265
566.5856065564758,550.89580804763,536.014479777711,553.561165321403
566.4800665030933,550.8346006952155,535.8756312433787,553.3346071419087
566.4673055135934,551.0397368819746,536.4421050754927,553.63288465333
566.8140537417175,550.7939962797952,536.1918199158097,553.6666956719671
566.7833464878255,551.0108402920724,536.7811298538422,553.9585828983819
566.6731881458222,550.9632476023364,536.6813699743906,553.7366397786201
567.0001552506122,550.8527548869502,536.9921017369296,554.0539767712194
566.8796555404159,550.8130306643608,536.9365390541109,553.839099501235
566.8330448139972,551.0374564983239,537.5551134103374,554.1330167785011
566.8833402817794,550.7767028715252,537.5677370046496,553.9651425684389
566.8239790634831,551.0104770733328,538.2042004818652,554.2550677742126
566.7405469418619,551.1570771196801,538.6223067994861,554.3741996826244
566.7287610117371,551.1628947841039,539.3202898817652,554.5323367991591
566.5904299507293,551.1546466645647,539.375366194357,554.3528014577502
566.5244908753043,551.4019752250422,540.0346369342077,554.6431875079435
566.43759457631,551.5605815723529,540.8887997537917,554.8268900505462
566.2967862175999,551.575383862053,541.000773542917,554.6774040448811
