thrust,tau_x,tau_y,tau_z
575.6950732289718,670.4484479792071,694.7851397006085,603.9208696983128
564.6914914557171,682.08754491897,705.837948945264,593.2245635245683
580.1529079297836,668.2889261561031,692.3273616430392,607.7444842762376
587.3816447847597,674.5713767745303,698.2067474844813,614.4369360870276
584.3387016864821,678.1977177159981,701.3372573461781,611.1006264153924
584.3387016864821,678.1977177159981,701.3372573461781,611.1006264153924
581.316551870311,672.5027899937393,688.7526450105198,613.6442777472271
581.6709701299524,672.8694194531677,688.9185984143787,613.7643866885012
585.8302952806612,671.0237484381198,681.6055251836757,618.4666254893593
585.8302952806612,671.0237484381198,681.6055251836757,618.4666254893593
593.2327228411998,666.7314239814792,673.1426306330175,620.9586582940028
600.6537758854038,661.70989672411,663.6635658891121,623.3390551904304
615.0910245053246,650.3566329690486,643.2866448369246,627.5968821082159
622.3248423998311,644.7208144173097,633.1570203833326,629.4259029061948
622.3248423998311,644.7208144173097,633.1570203833326,629.4259029061948
629.177739084735,639.1569823096956,623.3091233563476,630.8397540561434
641.5901542477199,627.5815982943853,603.9263345025814,632.9821349099589
641.5901542477199,627.5815982943853,603.9263345025814,632.9821349099589
646.8185889996279,622.0653866222067,595.2294758571614,633.845199918128
652.4602904927839,611.9530864935512,582.2022732446387,634.0540621852444
654.0900704849221,607.5780323250224,577.3291802687384,633.6462286242694
654.8644970793503,603.4008980016489,573.4476340457819,633.0134303225425
654.1631125852923,599.5979206067584,571.2220890692762,632.1012184169554
654.4847776233701,600.007959541736,571.4126436855613,632.2172259917121
650.1692103249287,592.9417344286144,569.9094514661425,629.3934679862174
646.6952391643737,590.3556369167827,570.9579841402777,627.4793906498688
646.6952391643737,590.3556369167827,570.9579841402777,627.4793906498688
642.4669015029908,588.1116182416093,572.8668864106803,625.3611026261113
632.0581922194168,584.0690800746042,578.2296926610951,620.5654174297619
626.4520200027544,582.758909024936,581.5202778686034,617.8939603413028
626.4520200027544,582.758909024936,581.5202778686034,617.8939603413028
614.9195443598605,581.2277245795782,588.0861662497504,612.070751519959
609.1447780568928,580.6827126974708,591.1709611001443,609.1682518376493
603.46972491758,580.3142645522786,594.0056676970021,606.2474825366778
598.2489104208934,580.2947419191809,596.1611439331288,603.2686124035549
593.5343987894039,580.5455314968591,597.6344216779364,600.2666746685109
589.1504376526574,580.8861386979545,598.6908048978203,597.296839750811
585.5427966215013,581.2694449884175,598.8401314572577,594.5076226955625
582.673728364872,581.677471127964,598.1899032004808,591.8649965352611
580.4768397799262,582.1260723203585,596.8513198644296,589.3156656600386
578.8950536302384,582.5761759394121,594.922442800697,586.8593830749581
577.9089132741719,582.9363624057175,592.4576005082566,584.5523116014201
